BPLL22	1005	80	80	0	0	0	0	80	80	160	480	117138	40744	66208	30558	275020	275500	1	7	0	3	0	2	1	2	6	6	0	2	82	700	5	7667	7	327	2	37	7	23	6	0	64	628	57	21	34	0	0	33	450	4	5	25	2	3	0	66	11	49	5	25	616	18	662	8	0	33	0	62	7	0	1	31	86	67	1	66	0	0	0	0	0	0	0	0	7	16	0	0	0	4	77	0	0	0	0	0	7	16	2	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	933	84	29	23	9	4	3	7	6	3	0	2	0	2	1	4	2	1	1	2	5	1	2	0	2	1	0	0	1	2	0	1	1	0	0	1	0	0	0	1	0	2	0	0	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	1	1	0	112	0	1	59	2	58	16	186	12	0	0	53	1	1	0	4	0	0	5	6	1219085487	30	88	8	2	1	93	18	87	8	0	6	0	5	9	9	33	4	2	52	10	1	1	2	9	50	3	48	2	4	14	5	0	38	4	0	1	1	6	6	24	2	10	1	8	23	2	79
BPLL24	997	240	640	0	0	160	0	640	400	320	2400	168067	20372	71301	66208	331042	333442	2	5	0	2	0	4	1	9	5	5	0	2	134	NA	4541	5	1017	1	22	24	5	2	5	17	234	92	2	7	0	1	38	409	18	6	91	4	15	0	18	66	0	364	94	1009	81	0	4	84	58	6	0	1	38	45	62	1	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	91	1	13	0	0	0	0	0	3	39	0	0	0	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	1	55	4	56	905	82	51	23	13	5	4	13	0	10	5	3	0	4	2	1	3	0	3	3	0	3	0	0	1	0	1	1	0	3	1	1	0	2	1	0	0	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	49	1	0	0	103	1	7	55	8	53	8	160	8	2	0	49	2	0	1	2	0	0	1	5	120190779	5	8	5	6	7	14	1	25	14	0	4	0	3	2	5	30	3	6	59	2	0	4	0	4	50	0	57	2	7	8	2	0	33	10	1	1	0	0	6	17	1	4	0	9	11	7	91
BPLL32	929	400	80	0	0	0	80	0	0	240	800	203718	56023	30558	25465	417623	418423	2	0	4	0	3	1	3	6	6	0	2	87	501	5723	3	269	1	38	3	24	2	25	8	82	406	35	21	34	0	0	33	450	4	5	25	2	3	0	66	11	49	5	25	616	18	662	8	0	33	0	62	7	0	1	31	86	67	1	66	0	0	0	0	0	0	0	0	1	27	0	0	0	0	0	0	0	1	27	0	1	27	2	54	0	1	27	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	6	913	79	36	27	1	12	2	4	4	2	1	2	0	1	3	4	1	2	0	1	12	0	4	0	4	0	1	0	2	1	2	4	0	0	5	0	0	4	0	3	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	96	0	0	59	0	58	20	183	7	0	0	38	1	0	2	3	0	0	83	5	0	6	12	19	29	34	14	1	56	7	2	6	0	0	7	22	26	5	0	54	3	1	5	1	14	45	0	44	3	2	5	6	0	70	3	1	0	0	10	3	19	4	2	3	1	14	8	52
BPLL34	1017	400	160	0	240	480	160	0	0	720	2160	320856	106952	213904	106952	870894	873054	2	3	0	3	0	4	1	7	5	7	0	2	128	8	NA	4007	7	889	5	26	3	24	6	32	374	6	2	7	0	1	38	409	18	6	91	4	15	0	18	66	0	364	94	1009	81	0	4	84	58	6	0	1	38	45	62	1	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	41	3	52	0	0	0	0	0	5	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	29	3	0	NA	916	95	40	14	9	10	0	10	9	17	0	2	0	2	0	3	1	2	5	3	0	0	1	1	0	0	0	1	3	1	2	0	3	0	1	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	111	1	0	60	1	60	6	185	3	1	0	50	0	0	3	5	0	0	2	5	0	198	22	23	26	2	16	1	58	14	1	6	0	0	5	19	26	2	1	37	7	0	7	2	6	53	0	39	3	1	5	1	1	90	5	1	0	0	7	9	19	5	4	3	9	20	3	93
BPPE12	958	720	0	0	0	0	0	0	160	880	1760	25465	15279	5093	5093	61116	62876	1	7	0	2	0	3	1	3	6	4	0	1	22	6	513	2	5379	2	247	4	34	4	22	38	3	0	3	311	11	3	27	0	5	23	339	2	7	19	0	65	0	9	8	0	503	63	866	82	0	0	106	47	0	65	0	84	27	6	61	0	1	23	0	0	0	0	0	0	20	9	0	0	0	2	46	0	12	3	1	23	1	23	15	98	12	3	0	0	0	1	23	0	0	0	0	0	0	0	0	34	43	0	0	1	23	0	1	23	7	964	87	32	8	3	6	5	7	4	5	3	2	1	2	1	1	3	4	1	0	0	1	0	0	3	1	0	2	0	2	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	40	5	2	1	103	0	1	56	1	55	5	185	15	0	0	48	1	2	1	3	1	1	3355	6	1190779014	72	34	6	25	5	54	15	4	7	2	10	0	1	11	22	21	4	2	58	7	0	0	0	6	62	2	50	3	2	12	8	0	47	1	2	9	0	6	4	14	2	5	0	6	6	6	33
BPPE14	1001	1040	279040	8400	160	240	2480	80	560	240	292240	529666	91673	61115	10186	713012	1005252	1	6	0	2	0	3	1	2	5	6	0	1	3	2	NA	3177	7	594	5	24	4	25	5	0	1	152	38	5	35	0	0	322	65	52	59	2	67	0	2	67	0	414	46	1032	13	0	0	39	22	0	0	89	54	37	12	64	0	1	19	0	0	0	0	0	0	13	11	0	0	0	0	0	1	19	0	0	0	5	96	1	19	0	0	4	77	0	0	9	53	0	0	0	0	0	0	5	96	0	34	0	0	0	0	0	0	1	19	0	89	897	132	37	28	7	5	4	10	8	9	3	1	0	4	2	0	1	2	3	0	1	0	0	1	0	1	0	1	0	2	1	0	1	1	0	1	0	0	0	0	0	2	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	7	0	0	93	0	1	51	3	51	12	180	19	1	0	40	0	0	0	7	1	0	2193	4	176812749	82	3	3	13	5	65	23	33	8	4	10	0	2	5	15	23	5	1	59	3	1	3	0	16	44	3	62	1	3	11	8	0	66	1	5	4	1	3	7	13	3	7	2	4	8	4	30
BPPE22	976	880	0	0	160	160	80	0	0	1280	2560	45837	20372	20372	81487	188439	190999	1	5	0	2	0	2	1	6	5	0	1	43	9	406	3	5385	7	307	7	36	2	23	5	66	0	32	323	81	3	27	0	5	23	339	2	7	19	0	65	0	9	8	0	503	63	866	82	0	0	106	47	0	65	0	84	27	6	61	0	1	26	0	0	0	18	96	0	0	12	64	0	0	1	26	0	1	26	1	26	1	26	1	26	0	21	48	6	32	0	1	26	2	53	0	0	0	0	0	0	0	0	35	38	0	0	0	0	0	0	952	64	41	9	8	9	4	3	5	9	3	2	0	3	2	2	3	1	0	0	1	1	1	2	1	1	1	0	0	1	0	0	1	1	0	0	0	1	2	0	0	0	1	0	1	2	0	1	1	1	0	0	0	1	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	7	0	3	87	0	2	41	5	39	14	160	17	1	0	45	2	0	1	1	0	0	2496	5	0	75	26	11	1	33	20	1	47	15	1	9	0	0	4	21	39	3	3	60	8	3	4	0	14	35	2	46	1	2	17	1	0	45	2	0	2	3	4	4	19	0	3	1	21	23	14	42
BPPE24	978	1440	320	0	0	80	1040	80	640	1200	4800	40744	5093	25465	15279	96766	101566	1	3	0	4	0	4	0	6	5	7	0	2	23	2	NA	4475	5	646	8	31	7	24	5	0	1	336	51	5	35	0	0	322	65	52	59	2	67	0	2	67	0	414	46	1032	13	0	0	39	22	0	0	89	54	37	12	64	0	0	0	0	0	0	0	0	1	21	0	0	0	3	63	0	0	0	0	0	2	42	0	0	0	1	21	1	21	0	0	0	0	0	0	0	0	0	0	0	7	27	0	0	0	0	0	0	0	0	2	22	16	975	59	29	15	7	3	1	7	1	3	1	1	3	4	1	2	2	0	0	0	1	1	1	1	1	8	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	5	0	2	108	0	0	53	1	52	10	174	6	1	0	55	1	0	0	6	0	1	2237	5	0	134	85	24	25	2	16	1	55	5	1	10	0	2	4	12	24	5	1	70	8	2	3	0	11	47	0	44	1	5	13	4	3	60	2	2	2	0	4	4	16	0	12	2	17	25	9	65
BPPE32	991	640	960	0	0	0	0	0	240	880	2720	10186	15279	20372	20372	71301	74021	2	0	2	0	2	1	6	6	4	0	2	9	2	432	4	5658	4	400	3	33	7	23	5	1	0	41	317	46	3	27	0	5	23	339	2	7	19	0	65	0	9	8	0	503	63	866	82	0	0	106	47	0	65	0	84	27	6	61	0	1	25	0	0	0	0	0	2	51	2	51	0	0	0	0	0	3	76	0	2	51	20	5	12	53	50	13	1	25	0	5	1	0	0	0	0	0	0	0	0	30	8	0	0	3	76	0	2	51	1	949	91	25	14	9	6	3	8	4	5	5	1	0	2	2	2	2	1	0	0	0	1	0	0	4	2	0	1	2	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	2	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4	0	1	98	0	1	48	1	47	10	194	14	1	0	51	1	0	1	2	0	1	2	3	2016574586	87	37	28	8	0	82	13	44	14	3	10	1	2	14	24	20	4	1	50	3	1	3	1	16	46	3	84	1	5	11	6	0	43	1	1	1	1	3	7	19	4	8	0	7	17	9	26
BPPE34	985	1120	720	0	0	0	160	0	80	11040	13120	1018589	50929	61115	71301	1313980	1327100	2	4	0	1	0	3	2	5	6	0	2	13	6	NA	3643	559	23	2	25	3	2	32	5	24	5	35	0	0	322	65	52	59	2	67	0	2	67	0	414	46	1032	13	0	0	39	22	0	0	89	54	37	12	64	0	1	22	0	0	0	9	78	0	0	20	78	0	0	0	8	56	0	0	0	0	0	17	11	3	67	0	0	0	1	22	3	67	1	22	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	2	82	956	77	32	10	5	3	6	12	3	7	1	0	0	6	3	2	0	1	1	4	0	2	0	1	3	1	0	1	1	0	1	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	2	1	0	89	0	3	47	4	46	19	192	8	0	0	42	1	1	1	4	1	1	1	6	1690129768	66	26	6	2	30	29	37	54	10	0	3	1	3	9	9	24	4	1	59	1	0	2	1	16	48	1	113	0	5	13	9	1	35	3	1	2	3	7	4	16	4	7	4	6	17	3	32
MPF12	20	0	80	0	80	0	0	0	640	160	960	20372	50930	20372	5093	96766	97726	0	9	0	2	0	3	0	5	6	6	0	1	15	4	572	9	3247	5	173	26	9	24	29	0	29	330	16	14	85	1	54	6	15	85	1	12	8	0	0	18	95	0	521	82	1242	33	0	0	22	2	0	0	1	54	2	34	0	0	0	0	0	0	0	1	3	9	7	0	0	0	0	0	5	18	0	0	0	15	55	5	18	0	6	48	16	84	0	0	0	0	0	0	0	0	0	0	0	0	0	7	77	0	0	0	2	59	0	1	95	979	79	13	10	9	4	5	4	2	2	6	1	0	5	1	0	1	3	0	1	1	1	0	3	2	1	2	2	0	3	0	1	1	3	2	1	0	0	0	0	0	1	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	4	1	0	75	0	0	46	0	44	11	192	12	0	0	31	2	1	0	3	1	0	2125	7	1844444444	43	4	6	18	2	67	15	48	6	2	15	3	1	2	30	27	5	0	115	4	0	8	1	13	47	2	85	1	1	12	3	3	59	1	0	4	0	0	3	17	1	15	2	2	7	14	29
MPF14	26	0	0	0	0	0	80	0	400	1520	2000	5093	20372	40744	0	66208	68208	1	1	0	1	0	3	0	7	6	1	0	1	7	NA	2450	1	271	2	10	8	26	9	16	0	5	526	98	10	86	1	89	0	94	68	94	14	64	0	0	13	69	0	537	82	1262	16	0	47	0	13	22	0	0	2	36	10	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	59	0	0	5	42	0	0	0	0	0	0	0	1	8	0	2	17	0	0	0	0	0	0	0	0	1	69	4	26	972	75	26	6	9	8	2	3	4	5	13	6	0	6	3	1	3	2	3	1	0	0	0	0	0	1	0	0	0	0	0	0	1	3	1	1	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	2	1	0	94	0	2	51	3	50	18	168	17	0	0	43	1	1	2	0	0	1	3545	4	1342541436	20	38	7	1	4	35	23	56	8	5	6	3	6	2	23	28	4	3	82	6	1	14	1	13	38	1	79	1	9	14	6	3	54	2	2	5	3	0	11	22	5	13	1	1	18	9	26
MPF24	23	0	80	0	0	0	0	0	240	1360	1680	5093	0	40744	0	45837	47517	1	6	0	2	0	2	1	2	6	1	0	1	12	7	NA	3259	8	427	2	7	5	28	4	75	0	7	552	38	10	86	1	89	0	94	68	94	14	64	0	0	13	69	0	537	82	1262	16	0	47	0	13	22	0	0	2	36	10	64	0	1	8	0	0	0	0	0	0	1	8	0	0	0	0	2	16	0	0	0	0	1	8	2	16	0	5	4	3	24	0	0	1	8	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	914	116	21	11	9	5	0	6	3	1	13	6	0	2	3	3	1	2	2	1	0	2	0	2	0	0	0	1	0	2	0	0	0	1	0	1	1	0	0	0	3	0	0	0	1	0	0	1	0	1	1	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	5	0	0	93	0	1	56	1	55	12	135	14	0	0	38	1	0	0	2	0	0	2755	5	1478602277	23	2	62	27	8	83	6	55	3	8	9	5	2	3	22	42	0	1	102	6	0	14	0	10	42	3	71	3	1	12	3	0	65	0	3	2	1	1	1	21	8	12	0	1	7	8	21
MPF32	42	0	0	0	80	0	0	240	320	4880	5520	56023	86580	5093	10186	168068	173588	1	5	0	2	0	3	1	6	6	0	1	30	3	246	9	6127	375	1	22	2	23	2	31	34	222	22	14	85	1	54	6	15	85	1	12	8	0	0	18	95	0	521	82	1242	33	0	0	22	2	0	0	1	54	2	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	87	0	0	1	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	2	0	81	5	16	2	954	79	17	8	14	6	3	1	2	4	4	1	1	3	4	0	1	3	2	1	2	1	2	4	0	3	0	1	1	5	0	1	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	3	0	1	99	0	2	54	3	52	9	143	17	0	0	46	2	0	0	2	0	0	2701	5	0	2	41	25	8	4	20	1	86	5	3	2	4	2	5	28	48	2	2	123	7	1	8	0	17	48	4	61	2	5	13	2	1	61	0	2	2	0	1	6	24	1	10	1	3	13	12	30
